"scenario","year","variable","value","units","version"
"ssp119",1850,"Tgav",-0.0261740750731235,"degC","full doeclim integration"
"ssp119",1851,"Tgav",-0.0135342470048805,"degC","full doeclim integration"
"ssp119",1852,"Tgav",-0.00319222270939027,"degC","full doeclim integration"
"ssp119",1853,"Tgav",-0.0110408957049071,"degC","full doeclim integration"
"ssp119",1854,"Tgav",-0.0223984859981646,"degC","full doeclim integration"
"ssp119",1855,"Tgav",-0.0175487217974846,"degC","full doeclim integration"
"ssp119",1856,"Tgav",-0.0111039100567551,"degC","full doeclim integration"
"ssp119",1857,"Tgav",-0.0216171015652536,"degC","full doeclim integration"
"ssp119",1858,"Tgav",-0.0164053320130416,"degC","full doeclim integration"
"ssp119",1859,"Tgav",-0.00257643461287998,"degC","full doeclim integration"
"ssp119",1860,"Tgav",0.011471999701139,"degC","full doeclim integration"
"ssp119",1861,"Tgav",0.0156549952002155,"degC","full doeclim integration"
"ssp119",1862,"Tgav",-0.0522789913597624,"degC","full doeclim integration"
"ssp119",1863,"Tgav",-0.0736336536976493,"degC","full doeclim integration"
"ssp119",1864,"Tgav",-0.0557551313126858,"degC","full doeclim integration"
"ssp119",1865,"Tgav",-0.0320461443926189,"degC","full doeclim integration"
"ssp119",1866,"Tgav",-0.0117501386544248,"degC","full doeclim integration"
"ssp119",1867,"Tgav",0.00319222608697628,"degC","full doeclim integration"
"ssp119",1868,"Tgav",0.0150239793766592,"degC","full doeclim integration"
"ssp119",1869,"Tgav",0.0265304120001588,"degC","full doeclim integration"
"ssp119",1870,"Tgav",0.0356989891679621,"degC","full doeclim integration"
"ssp119",1871,"Tgav",0.0448073702543091,"degC","full doeclim integration"
"ssp119",1872,"Tgav",0.051813737547941,"degC","full doeclim integration"
"ssp119",1873,"Tgav",0.0353885745935707,"degC","full doeclim integration"
"ssp119",1874,"Tgav",0.0341573029620422,"degC","full doeclim integration"
"ssp119",1875,"Tgav",0.0364106154686215,"degC","full doeclim integration"
"ssp119",1876,"Tgav",0.0384968813784621,"degC","full doeclim integration"
"ssp119",1877,"Tgav",0.0439174220241301,"degC","full doeclim integration"
"ssp119",1878,"Tgav",0.049675438332654,"degC","full doeclim integration"
"ssp119",1879,"Tgav",0.0541454095674891,"degC","full doeclim integration"
"ssp119",1880,"Tgav",0.054695885913826,"degC","full doeclim integration"
"ssp119",1881,"Tgav",0.05712329937657,"degC","full doeclim integration"
"ssp119",1882,"Tgav",0.0638009528791977,"degC","full doeclim integration"
"ssp119",1883,"Tgav",0.00802956697092399,"degC","full doeclim integration"
"ssp119",1884,"Tgav",-0.162027333918209,"degC","full doeclim integration"
"ssp119",1885,"Tgav",-0.188421947442755,"degC","full doeclim integration"
