"scenario","year","variable","value","units","version"
"ssp119",1850,"Tgav",-0.027595083879243,"degC","land-tracking"
"ssp119",1851,"Tgav",-0.0150106300996943,"degC","land-tracking"
"ssp119",1852,"Tgav",-0.00472254877626704,"degC","land-tracking"
"ssp119",1853,"Tgav",-0.0126234059347588,"degC","land-tracking"
"ssp119",1854,"Tgav",-0.024032100045761,"degC","land-tracking"
"ssp119",1855,"Tgav",-0.0192291652211072,"degC","land-tracking"
"ssp119",1856,"Tgav",-0.0128282050426353,"degC","land-tracking"
"ssp119",1857,"Tgav",-0.0233871243276091,"degC","land-tracking"
"ssp119",1858,"Tgav",-0.0182197264694496,"degC","land-tracking"
"ssp119",1859,"Tgav",-0.00443152880738408,"degC","land-tracking"
"ssp119",1860,"Tgav",0.00957804391621798,"degC","land-tracking"
"ssp119",1861,"Tgav",0.013724568922857,"degC","land-tracking"
"ssp119",1862,"Tgav",-0.0542429557831178,"degC","land-tracking"
"ssp119",1863,"Tgav",-0.0756281122630461,"degC","land-tracking"
"ssp119",1864,"Tgav",-0.0577695296516378,"degC","land-tracking"
"ssp119",1865,"Tgav",-0.0340802278111354,"degC","land-tracking"
"ssp119",1866,"Tgav",-0.0138090576307861,"degC","land-tracking"
"ssp119",1867,"Tgav",0.0011072103171507,"degC","land-tracking"
"ssp119",1868,"Tgav",0.0129147134910843,"degC","land-tracking"
"ssp119",1869,"Tgav",0.0243996651416188,"degC","land-tracking"
"ssp119",1870,"Tgav",0.0335489515166618,"degC","land-tracking"
"ssp119",1871,"Tgav",0.0426392239867972,"degC","land-tracking"
"ssp119",1872,"Tgav",0.0496284870387115,"degC","land-tracking"
"ssp119",1873,"Tgav",0.033186796761168,"degC","land-tracking"
"ssp119",1874,"Tgav",0.0319378603583883,"degC","land-tracking"
"ssp119",1875,"Tgav",0.034179538917768,"degC","land-tracking"
"ssp119",1876,"Tgav",0.0362503430571724,"degC","land-tracking"
"ssp119",1877,"Tgav",0.0416532805425522,"degC","land-tracking"
"ssp119",1878,"Tgav",0.0473934632759004,"degC","land-tracking"
"ssp119",1879,"Tgav",0.0518451154323346,"degC","land-tracking"
"ssp119",1880,"Tgav",0.0523777725710068,"degC","land-tracking"
"ssp119",1881,"Tgav",0.0547886365052844,"degC","land-tracking"
"ssp119",1882,"Tgav",0.0614518557304825,"degC","land-tracking"
"ssp119",1883,"Tgav",0.00566665484066115,"degC","land-tracking"
"ssp119",1884,"Tgav",-0.16440477818399,"degC","land-tracking"
"ssp119",1885,"Tgav",-0.190803525303008,"degC","land-tracking"
"ssp119",1886,"Tgav",-0.149734912437267,"degC","land-tracking"
"ssp119",1887,"Tgav",-0.113785484231308,"degC","land-tracking"
"ssp119",1888,"Tgav",-0.0772394585808487,"degC","land-tracking"
"ssp119",1889,"Tgav",-0.0455445736813505,"degC","land-tracking"
"ssp119",1890,"Tgav",-0.0387458434388139,"degC","land-tracking"
"ssp119",1891,"Tgav",-0.0449346084813555,"degC","land-tracking"
"ssp119",1892,"Tgav",-0.0302512953829141,"degC","land-tracking"
"ssp119",1893,"Tgav",-0.00382310178024017,"degC","land-tracking"
"ssp119",1894,"Tgav",0.0177148703510739,"degC","land-tracking"
"ssp119",1895,"Tgav",0.0323926363010074,"degC","land-tracking"
"ssp119",1896,"Tgav",0.0417427592214115,"degC","land-tracking"
"ssp119",1897,"Tgav",0.0474522263786611,"degC","land-tracking"
"ssp119",1898,"Tgav",0.0516268002258845,"degC","land-tracking"
"ssp119",1899,"Tgav",0.0533470024292911,"degC","land-tracking"
"ssp119",1900,"Tgav",0.0544949021317412,"degC","land-tracking"
"ssp119",1901,"Tgav",0.0554850792461516,"degC","land-tracking"
"ssp119",1902,"Tgav",0.0365938897103784,"degC","land-tracking"
"ssp119",1903,"Tgav",-0.0391036514633875,"degC","land-tracking"
"ssp119",1904,"Tgav",-0.0584793143363185,"degC","land-tracking"
"ssp119",1905,"Tgav",-0.0376178191583233,"degC","land-tracking"
"ssp119",1906,"Tgav",-0.0101939074107874,"degC","land-tracking"
"ssp119",1907,"Tgav",-0.0080356260014233,"degC","land-tracking"
"ssp119",1908,"Tgav",0.00283071075189881,"degC","land-tracking"
"ssp119",1909,"Tgav",0.0163843679437869,"degC","land-tracking"
"ssp119",1910,"Tgav",0.0245289042309569,"degC","land-tracking"
"ssp119",1911,"Tgav",0.0301091687994652,"degC","land-tracking"
"ssp119",1912,"Tgav",-0.0165194263692523,"degC","land-tracking"
"ssp119",1913,"Tgav",-0.0487515740460351,"degC","land-tracking"
